disarm_id,actortype_id
C00006,A033
C00008,A007
C00009,A016
C00009,A006
C00010,A020
C00011,A006
C00011,A026
C00011,A024
C00012,A020
C00012,A018
C00012,A033
C00014,A007
C00016,A031
C00017,A021
C00044,A031
C00051,A006
C00052,A004
C00053,A031
C00053,A028
C00053,A012
C00060,A020
C00065,A020
C00073,A006
C00073,A008
C00073,A017
C00073,A009
C00073,A032
C00073,A021
C00073,A005
C00073,A010
C00074,A031
C00074,A028
C00092,A001
C00097,A031
C00098,A031
C00099,A031
C00101,A031
C00103,A024
C00105,A023
C00107,A031
C00111,A021
C00111,A013
C00114,A015
C00122,A031
C00124,A015
C00124,A021
C00128,A003
C00131,A029
C00133,A031
C00135,A031
C00142,A031
C00143,A015
C00143,A014
C00147,A031
C00148,A031
C00153,A027
C00154,A021
C00155,A025
C00156,A018
C00156,A019
C00160,A001
C00160,A016
C00172,A031
C00174,A021
C00182,A027
C00188,A021
C00188,A006
C00190,A015
C00197,A031
C00197,A004
C00200,A016
C00203,A018
C00205,A018
C00205,A033
C00207,A018
C00207,A033
C00212,A006
C00212,A018
C00216,A023
