P01,P01,P01,P02,P02,P02,P02,P02,P02,P03,P03,P03,P03,P03,P03,P04
TA01,TA02,TA03,TA04,TA05,TA06,TA07,TA08,TA09,TA10,TA11,TA12,TA13,TA14,TA15,TA16
T0001,T0003,T0010,T0013,T0020,T0029,T0041,T0047,T0051,T0063,T0070,T0074,T0080,T0085,T0090,T0095
T0002,T0004,T0011,T0014,T0021,T0030,T0042,T0048,T0052,T0064,T0071,T0075,T0081,T0086,T0091,T0096
,T0005,T0012,T0015,T0022,T0031,T0043,T0049,T0053,T0065,T0072,T0076,T0082,T0087,T0092,T0097
,T0006,,T0016,T0023,T0032,T0044,T0050,T0054,T0066,T0073,T0077,T0083,T0088,T0093,
,T0007,,T0017,T0024,T0033,T0045,,T0055,T0067,,T0078,T0084,T0089,T0094,
,T0008,,T0018,T0025,T0034,T0046,,T0056,T0068,,T0079,,,,
,T0009,,T0019,T0026,T0035,,,T0057,T0069,,,,,,
,,,,T0027,T0036,,,T0058,,,,,,,
,,,,T0028,T0037,,,T0059,,,,,,,
,,,,,T0038,,,T0060,,,,,,,
,,,,,T0039,,,T0061,,,,,,,
,,,,,T0040,,,T0062,,,,,,,
